customer_id,age,gender,city,state,signup_date,order_id,purchase_date,purchase_number,days_since_last_purchase,session_id,device,traffic_source,search_keyword,pages_viewed,wishlist_items,cart_items,product_id,product_name,brand,category,subcategory,price,discount,quantity,product_rating,product_popularity,total_orders,total_spent,avg_order_value,favorite_brand,favorite_category,recency,frequency,monetary,campaign_name,campaign_sent,campaign_opened,campaign_clicked,coupon_used,interaction_score,next_product_name,best_campaign,customer_segment
C00001,32,Female,Mumbai,Maharashtra,2024-02-02,O0000001,2024-08-18,1,0.0,S0000001,Mobile,Paid Ads,porro,9,0,4,P00365,Bloomsbury Non-Fiction Aut,Bloomsbury,Books,Non-Fiction,1304.21,15.0,1,4.7,125,2,1768.7,884.35,Bloomsbury,Books,221,2,1768.7,No Campaign,0,0,0,0,0.748,HarperCollins Non-Fiction Tenetur,Loyalty Rewards,Hibernating
C00001,32,Female,Mumbai,Maharashtra,2024-02-02,O0000002,2025-11-21,2,460.0,S0000002,Mobile,Organic Search,Non-Fiction,6,2,2,P00361,HarperCollins Non-Fiction Tenetur,HarperCollins,Books,Non-Fiction,825.15,20.0,1,3.5,408,2,1768.7,884.35,Bloomsbury,Books,221,2,1768.7,No Campaign,0,0,0,0,0.889,HarperCollins Self-Help Cum,Loyalty Rewards,Hibernating
C00002,16,Female,Pune,Maharashtra,2025-05-06,O0000004,2025-11-26,2,89.0,S0000004,Mobile,Organic Search,Wakefit,8,2,1,P00162,Wakefit Decor Odit,Wakefit,Home,Decor,15599.04,15.0,2,4.2,225,5,128663.39,25732.68,Wakefit,Electronics,32,5,128663.39,No Campaign,0,0,0,0,0.922,Maybelline Skincare Ad,Monsoon Mega Sale,New / Potential
C00002,16,Female,Pune,Maharashtra,2025-05-06,O0000005,2025-12-24,3,28.0,S0000005,Mobile,Referral,quidem,5,1,2,P00184,Maybelline Skincare Ad,Maybelline,Beauty,Skincare,253.06,0.0,2,2.7,552,5,128663.39,25732.68,Wakefit,Electronics,32,5,128663.39,Monsoon Mega Sale,1,1,0,0,0.588,boAt Camera Fuga,Monsoon Mega Sale,New / Potential
C00002,16,Female,Pune,Maharashtra,2025-05-06,O0000006,2026-01-03,4,10.0,S0000006,Mobile,Social Media,boAt,11,1,4,P00048,boAt Camera Fuga,boAt,Electronics,Cameras,39958.09,20.0,1,2.9,286,5,128663.39,25732.68,Wakefit,Electronics,32,5,128663.39,New Arrivals Alert,1,0,0,0,0.895,Puma Footwear Tenetur,Monsoon Mega Sale,New / Potential
C00002,16,Female,Pune,Maharashtra,2025-05-06,O0000007,2026-05-04,5,121.0,S0000007,Desktop,Email,Footwear,4,1,6,P00084,Puma Footwear Tenetur,Puma,Fashion,Footwear,5466.89,0.0,3,2.8,316,5,128663.39,25732.68,Wakefit,Electronics,32,5,128663.39,Loyalty Rewards,1,0,0,0,0.774,Apple Mobile Et,Monsoon Mega Sale,New / Potential
C00002,16,Female,Pune,Maharashtra,2025-05-06,O0000008,2026-05-29,6,25.0,S0000008,Desktop,Paid Ads,Electronics,4,2,2,P00006,Apple Mobile Et,Apple,Electronics,Mobiles,53271.76,0.0,1,4.8,450,5,128663.39,25732.68,Wakefit,Electronics,32,5,128663.39,Birthday Special,1,0,0,0,0.914,boAt Camera Cupiditate,Monsoon Mega Sale,New / Potential
C00003,16,Male,Kochi,Kerala,2024-04-06,O0000009,2024-06-08,1,0.0,S0000009,Mobile,Paid Ads,unde,3,3,3,P00027,boAt Smartwatche Nihil,boAt,Electronics,Smartwatches,16263.24,0.0,1,4.9,492,6,177972.32,29662.05,boAt,Electronics,394,6,177972.32,No Campaign,0,0,0,0,1.179,OnePlus Smartwatche Voluptatem,New Arrivals Alert,At Risk
C00003,16,Male,Kochi,Kerala,2024-04-06,O0000010,2024-09-21,2,105.0,S0000010,Desktop,Direct,OnePlus,12,0,4,P00034,OnePlus Smartwatche Voluptatem,OnePlus,Electronics,Smartwatches,17893.03,0.0,1,4.3,744,6,177972.32,29662.05,boAt,Electronics,394,6,177972.32,Birthday Special,1,1,0,0,0.801,Samsung Smartwatche Occaecati,New Arrivals Alert,At Risk
C00003,16,Male,Kochi,Kerala,2024-04-06,O0000012,2024-09-26,4,4.0,S0000012,Desktop,Organic Search,Smartwatches,6,0,2,P00029,Samsung Smartwatche Occaecati,Samsung,Electronics,Smartwatches,68210.02,0.0,1,2.7,190,6,177972.32,29662.05,boAt,Electronics,394,6,177972.32,New Arrivals Alert,1,1,1,1,0.476,Mi Camera Laborum,New Arrivals Alert,At Risk
C00003,16,Male,Kochi,Kerala,2024-04-06,O0000014,2024-10-27,6,2.0,S0000014,Desktop,Direct,ducimus,13,2,3,P00046,Mi Camera Laborum,Mi,Electronics,Cameras,71725.44,0.0,1,4.9,170,6,177972.32,29662.05,boAt,Electronics,394,6,177972.32,No Campaign,0,0,0,0,1.261,Amul Snack Placeat,New Arrivals Alert,At Risk
C00003,16,Male,Kochi,Kerala,2024-04-06,O0000015,2024-11-24,7,28.0,S0000015,Desktop,Direct,Amul,6,1,2,P00244,Amul Snack Placeat,Amul,Grocery,Snacks,1093.27,0.0,1,2.8,118,6,177972.32,29662.05,boAt,Electronics,394,6,177972.32,Cart Abandon Reminder,1,1,0,0,0.656,Adidas Apparel Atque,New Arrivals Alert,At Risk
C00003,16,Male,Kochi,Kerala,2024-04-06,O0000017,2025-06-01,9,81.0,S0000017,Mobile,Social Media,Sports,4,1,4,P00334,Adidas Apparel Atque,Adidas,Sports,Apparel,3981.88,30.0,1,3.9,357,6,177972.32,29662.05,boAt,Electronics,394,6,177972.32,Summer Bonanza,1,1,0,0,0.646,Mi Mobile Veritatis,New Arrivals Alert,At Risk
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000018,2024-12-04,1,0.0,S0000018,Mobile,Direct,Adidas,11,1,2,P00338,Adidas Accessorie Cumque,Adidas,Sports,Accessories,1292.29,0.0,2,2.9,705,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Loyalty Rewards,1,1,0,0,0.864,Reebok Footwear Esse,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000019,2024-12-12,2,8.0,S0000019,Tablet,Email,Footwear,3,2,6,P00315,Reebok Footwear Esse,Reebok,Sports,Footwear,10037.78,5.0,1,3.2,101,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Monsoon Mega Sale,1,1,1,1,1.096,Pepperfry Kitchenware At,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000020,2025-01-24,3,43.0,S0000020,Desktop,Social Media,Home,7,0,3,P00142,Pepperfry Kitchenware At,Pepperfry,Home,Kitchenware,21559.01,0.0,1,3.1,863,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Diwali Sale,1,1,0,0,0.455,Nilkamal Kitchenware Omnis,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000021,2025-01-31,4,7.0,S0000021,Mobile,Organic Search,Home,13,2,4,P00146,Nilkamal Kitchenware Omnis,Nilkamal,Home,Kitchenware,20122.51,0.0,1,3.9,339,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,1,1.26,OnePlus Camera Consequatur,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000022,2025-02-01,5,1.0,S0000022,Desktop,Organic Search,repellat,7,3,5,P00044,OnePlus Camera Consequatur,OnePlus,Electronics,Cameras,14853.21,0.0,1,3.4,534,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,New Arrivals Alert,1,1,0,0,1.256,Mi Mobile Veritatis,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000023,2025-05-04,6,92.0,S0000023,Mobile,Paid Ads,enim,11,3,3,P00009,Mi Mobile Veritatis,Mi,Electronics,Mobiles,1237.35,0.0,3,2.8,397,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,1.433,Puma Apparel Reprehenderit,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000024,2025-05-19,7,15.0,S0000024,Mobile,Organic Search,ullam,6,1,4,P00323,Puma Apparel Reprehenderit,Puma,Sports,Apparel,6423.52,0.0,1,2.6,722,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,0.801,Adidas Fitnes Doloremque,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000025,2025-06-02,8,14.0,S0000025,Desktop,Organic Search,Sports,9,0,6,P00293,Adidas Fitnes Doloremque,Adidas,Sports,Fitness,2754.21,10.0,1,4.2,676,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,New Arrivals Alert,1,0,0,0,0.729,Adidas Outdoor A,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000026,2025-06-14,9,12.0,S0000026,Mobile,Direct,Sports,8,1,2,P00302,Adidas Outdoor A,Adidas,Sports,Outdoor,319.9,0.0,2,4.1,731,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Loyalty Rewards,1,1,0,0,0.715,Decathlon Apparel Provident,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000027,2025-06-25,10,11.0,S0000027,Mobile,Paid Ads,Apparel,2,3,2,P00325,Decathlon Apparel Provident,Decathlon,Sports,Apparel,10775.53,30.0,1,3.0,92,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,0.995,Tata Snack Quis,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000028,2025-07-15,11,20.0,S0000028,Desktop,Email,Snacks,10,1,3,P00246,Tata Snack Quis,Tata,Grocery,Snacks,1097.39,0.0,1,2.5,658,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,0.856,Adidas Apparel Atque,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000030,2025-11-16,13,109.0,S0000030,Mobile,Direct,blanditiis,8,0,4,P00334,Adidas Apparel Atque,Adidas,Sports,Apparel,3981.88,20.0,1,3.9,357,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Birthday Special,1,0,0,0,0.554,Nike Watche Itaque,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000031,2025-12-10,14,24.0,S0000031,Mobile,Social Media,cupiditate,12,0,2,P00100,Nike Watche Itaque,Nike,Fashion,Watches,5032.25,30.0,1,2.5,17,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,New Year Offer,1,1,1,0,0.503,Adidas Footwear Assumenda,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000032,2025-12-19,15,9.0,S0000032,Desktop,Email,Adidas,7,2,1,P00319,Adidas Footwear Assumenda,Adidas,Sports,Footwear,11454.01,0.0,1,3.4,449,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,New Year Offer,1,0,0,0,0.919,Bloomsbury Comic In,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000033,2026-01-13,16,25.0,S0000033,Desktop,Social Media,Bloomsbury,4,0,5,P00393,Bloomsbury Comic In,Bloomsbury,Books,Comics,463.88,15.0,1,2.8,59,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,0.439,Apple Mobile Et,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000034,2026-01-31,17,18.0,S0000034,Mobile,Organic Search,Apple,8,2,4,P00006,Apple Mobile Et,Apple,Electronics,Mobiles,53271.76,0.0,1,4.8,450,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,New Year Offer,1,0,0,0,1.147,Nike Footwear Impedit,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000035,2026-02-02,18,2.0,S0000035,Desktop,Organic Search,Nike,6,1,5,P00314,Nike Footwear Impedit,Nike,Sports,Footwear,9625.15,15.0,2,3.3,376,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Monsoon Mega Sale,1,1,0,0,0.849,Reebok Accessorie Necessitatibus,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000036,2026-02-06,19,4.0,S0000036,Mobile,Paid Ads,Reebok,5,0,5,P00337,Reebok Accessorie Necessitatibus,Reebok,Sports,Accessories,9594.55,15.0,1,3.5,278,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,0.59,Nike Footwear Aspernatur,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000039,2026-04-28,22,17.0,S0000039,Desktop,Direct,Sports,5,0,3,P00321,Nike Footwear Aspernatur,Nike,Sports,Footwear,14129.53,0.0,2,3.5,333,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,0.526,Puma Outdoor Ut,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000040,2026-06-04,23,37.0,S0000040,Mobile,Paid Ads,Puma,9,2,2,P00310,Puma Outdoor Ut,Puma,Sports,Outdoor,14421.22,15.0,1,4.9,1052,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,No Campaign,0,0,0,0,1.05,Adidas Footwear Assumenda,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000041,2026-06-06,24,2.0,S0000041,Desktop,Paid Ads,in,8,2,1,P00319,Adidas Footwear Assumenda,Adidas,Sports,Footwear,11454.01,0.0,1,3.4,449,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,Birthday Special,1,1,0,0,0.989,Puma Accessorie Expedita,New Year Offer,Champions
C00004,46,Male,Hyderabad,Telangana,2024-12-01,O0000042,2026-06-20,25,14.0,S0000042,Desktop,Direct,aperiam,9,3,3,P00340,Puma Accessorie Expedita,Puma,Sports,Accessories,9173.47,15.0,3,2.7,604,22,262259.35,11920.88,Adidas,Sports,10,22,262259.35,New Year Offer,1,1,1,1,1.275,Decathlon Outdoor Eaque,New Year Offer,Champions
C00005,25,Male,Delhi,Delhi,2026-02-19,O0000043,2026-02-25,1,0.0,S0000043,Mobile,Organic Search,Maybelline,6,4,1,P00184,Maybelline Skincare Ad,Maybelline,Beauty,Skincare,253.06,10.0,2,2.7,552,2,700.67,350.33,Maybelline,Beauty,46,2,700.67,No Campaign,0,0,0,1,1.276,Scholastic Fiction Enim,Loyalty Rewards,New / Potential
C00005,25,Male,Delhi,Delhi,2026-02-19,O0000044,2026-05-15,2,79.0,S0000044,Tablet,Organic Search,impedit,8,3,2,P00353,Scholastic Fiction Enim,Scholastic,Books,Fiction,245.16,0.0,1,3.0,218,2,700.67,350.33,Maybelline,Beauty,46,2,700.67,No Campaign,0,0,0,0,1.169,LOreal Skincare Culpa,Loyalty Rewards,New / Potential
C00006,33,Male,Lucknow,Uttar Pradesh,2025-12-17,O0000045,2026-01-10,1,0.0,S0000045,Mobile,Referral,Men Clothing,6,0,2,P00059,Levis Men Clothing Magni,Levis,Fashion,Men Clothing,5100.08,0.0,1,4.7,335,9,64010.73,7112.3,Nike,Fashion,19,9,64010.73,No Campaign,0,0,0,0,0.558,Nike Apparel Beatae,Republic Day Sale,Champions
C00006,33,Male,Lucknow,Uttar Pradesh,2025-12-17,O0000046,2026-01-26,2,16.0,S0000046,Mobile,Social Media,quibusdam,4,1,1,P00330,Nike Apparel Beatae,Nike,Sports,Apparel,10987.73,10.0,2,4.9,137,9,64010.73,7112.3,Nike,Fashion,19,9,64010.73,No Campaign,0,0,0,0,0.592,Puma Bag Fuga,Republic Day Sale,Champions
C00006,33,Male,Lucknow,Uttar Pradesh,2025-12-17,O0000047,2026-02-09,3,14.0,S0000047,Mobile,Social Media,Bags,8,1,3,P00118,Puma Bag Fuga,Puma,Fashion,Bags,5988.22,5.0,1,4.7,828,9,64010.73,7112.3,Nike,Fashion,19,9,64010.73,Republic Day Sale,1,1,0,0,0.76,Pepperfry Furniture Expedita,Republic Day Sale,Champions
C00006,33,Male,Lucknow,Uttar Pradesh,2025-12-17,O0000048,2026-02-09,4,0.0,S0000048,Mobile,Email,Pepperfry,9,2,2,P00120,Pepperfry Furniture Expedita,Pepperfry,Home,Furniture,839.7,30.0,1,3.0,598,9,64010.73,7112.3,Nike,Fashion,19,9,64010.73,New Arrivals Alert,1,0,0,0,1.015,Adidas Footwear Aspernatur,Republic Day Sale,Champions
C00006,33,Male,Lucknow,Uttar Pradesh,2025-12-17,O0000050,2026-03-17,6,26.0,S0000050,Mobile,Organic Search,Sports,7,2,1,P00316,Adidas Footwear Aspernatur,Adidas,Sports,Footwear,6069.14,10.0,1,4.8,602,9,64010.73,7112.3,Nike,Fashion,19,9,64010.73,New Arrivals Alert,1,1,0,0,1.021,Pepperfry Kitchenware At,Republic Day Sale,Champions
